Plot_ID,Date,stage,B2,B3,B4,RE1,RE2,RE3,NIR,RE4,SWIR1,SWIR2,VV,VH
44,05-03-2018,LVS,0.1126288,0.0973927,0.0680809,0.0909478,0.249733,0.3688251,0.3623074,0.3982154,0.1660746,0.0726807,-13.53,-18.218
47,25-03-2018,ERS,0.1355501,0.1153878,0.0905339,0.1046521,0.2245995,0.3540706,0.3457357,0.3912427,0.1662709,0.074668,-16.957,-17.144
23,04-05-2019,MS,0.1566336,0.1655219,0.206059,0.2419487,0.2907143,0.3310676,0.3310375,0.3795012,0.4200041,0.2767242,-11.704,-20.661
99,30-03-2019,ERS,0.1220788,0.1122337,0.0826232,0.1122168,0.243121,0.3400639,0.330599,0.3770808,0.1543821,0.0716795,-11.24,-15.447
47,30-03-2019,ERS,0.1208183,0.1082806,0.0793118,0.1044488,0.2373147,0.3566373,0.3498642,0.3966277,0.1517803,0.0684509,-9.754,-15.635
53,20-03-2019,ERS,0.109624,0.0940267,0.0647681,0.0837928,0.2412328,0.3898103,0.3697116,0.4285721,0.1600776,0.0651948,-18.095,-21.825
62,13-02-2019,MVS,0.1010703,0.0940852,0.0545909,0.0966635,0.2670883,0.3336732,0.3185937,0.3440605,0.1609978,0.0753536,-10.672,-22.846
79,05-03-2019,LVS,0.1024545,0.0921625,0.0629129,0.0898542,0.2460305,0.3547228,0.3321113,0.3776292,0.1550342,0.0724244,-12.026,-19.992
65,13-02-2019,MVS,0.1111164,0.1146705,0.0688606,0.1246175,0.3036386,0.3661587,0.3698676,0.3781693,0.158423,0.0778503,-9.085,-20.046
20,23-02-2018,MVS,0.1160242,0.1019749,0.0703193,0.095518,0.2661794,0.3951248,0.3819833,0.4251833,0.1800884,0.0778349,-11.571,-17.009
66,14-04-2019,LRS,0.1182396,0.114817,0.0889283,0.1321549,0.2732785,0.3444115,0.3319237,0.3873449,0.2101773,0.1053071,-11.735,-15.982
62,05-03-2018,LVS,0.1137026,0.0986485,0.0692142,0.0907012,0.2547004,0.3945341,0.3858875,0.4268424,0.1715368,0.0756729,-15.05,-18.074
78,23-02-2018,MVS,0.1176076,0.1060386,0.0732612,0.1019483,0.2489965,0.3360312,0.3180814,0.3542389,0.164314,0.0781666,-11.483,-15.804
31,09-04-2018,LRS,0.1096053,0.0993805,0.0679099,0.1003433,0.2740838,0.408758,0.3924714,0.4539733,0.1830018,0.0793096,-12.384,-16.151
83,23-02-2019,MVS,0.1049613,0.0902836,0.0584065,0.0836488,0.2454889,0.3609104,0.349738,0.3850687,0.149188,0.0649048,-14.207,-17.712
27,24-01-2019,EVS,0.1601947,0.1406806,0.1160766,0.1349757,0.1698925,0.1838327,0.1658556,0.1805955,0.069973,0.0372932,-11.695,-24.938
45,05-03-2019,LVS,0.098637,0.0858657,0.0550123,0.0796417,0.2616497,0.4013735,0.3812913,0.4279636,0.1670298,0.0714801,-16.907,-20.903
13,24-01-2019,EVS,0.1578773,0.1432088,0.1148972,0.1423723,0.2452097,0.2943491,0.2867442,0.3134606,0.1582034,0.082771,-7.623,-16.468
89,13-02-2019,MVS,0.1013197,0.0932155,0.057018,0.1053328,0.2908767,0.3718278,0.3633339,0.3920689,0.17658,0.0779967,-10.994,-18.709
